Disease,Medication
Fungal infection,"Antifungal cream (Clotrimazole) or oral antifungal tablets"
Allergy,"Antihistamines (Cetirizine, Loratadine)"
GERD,"Proton pump inhibitors (Omeprazole, Pantoprazole)"
Chronic cholestasis,"Ursodeoxycholic acid"
Drug Reaction,"Discontinue offending drug; Antihistamines or corticosteroids"
Peptic ulcer disease,"Proton pump inhibitors and antibiotics (H. pylori treatment)"
AIDS,"Antiretroviral therapy (ART)"
Diabetes,"Insulin or Metformin"
Gastroenteritis,"Oral rehydration salts (ORS) and antiemetics"
Bronchial Asthma,"Inhaled bronchodilators (Salbutamol) and corticosteroids"
Hypertension,"Antihypertensives (Amlodipine, Losartan)"
Migraine,"Pain relievers (Ibuprofen) and triptans (Sumatriptan)"
Cervical spondylosis,"NSAIDs and muscle relaxants"
Paralysis (brain hemorrhage),"Emergency care; Anticoagulant management under supervision"
Jaundice,"Treat underlying cause; supportive care and hydration"
Malaria,"Antimalarial drugs (Chloroquine, Artemisinin-based therapy)"
Chicken pox,"Antiviral (Acyclovir) and antihistamines for itching"
Dengue,"Supportive care; Paracetamol (avoid NSAIDs/Aspirin)"
Typhoid,"Antibiotics (Ciprofloxacin, Azithromycin)"
hepatitis A,"Supportive care; rest and hydration"
Hepatitis B,"Antiviral medications (Tenofovir, Entecavir)"
Hepatitis C,"Antiviral therapy (Sofosbuvir-based regimens)"
Hepatitis D,"Interferon therapy"
Hepatitis E,"Supportive care; rest and hydration"
Alcoholic hepatitis,"Corticosteroids; complete alcohol abstinence"
Tuberculosis,"Anti-tubercular therapy (Isoniazid, Rifampicin)"
Common Cold,"Rest, fluids, and OTC decongestants"
Pneumonia,"Antibiotics (Amoxicillin, Azithromycin)"
Dimorphic hemmorhoids(piles),"Topical creams and stool softeners"
Heart attack,"Aspirin, Nitroglycerin, emergency intervention"
Varicose veins,"Compression stockings; sclerotherapy if needed"
Hypothyroidism,"Levothyroxine"
Hyperthyroidism,"Antithyroid drugs (Methimazole)"
Hypoglycemia,"Fast-acting glucose or sugar intake"
Osteoarthristis,"NSAIDs and physical therapy"
Arthritis,"NSAIDs and disease-modifying antirheumatic drugs (DMARDs)"
(vertigo) Paroymsal Positional Vertigo,"Epley maneuver; Meclizine"
Acne,"Topical retinoids and benzoyl peroxide"
Urinary tract infection,"Antibiotics (Nitrofurantoin, Ciprofloxacin)"
Psoriasis,"Topical corticosteroids and moisturizers"
Impetigo,"Topical or oral antibiotics (Mupirocin)"
